post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-07 17:00:03,0.4966442953020134,True
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-07 17:00:04,0.17647058823529413,False
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,40,43,dogscatstrees,2026-04-07 17:00:06,1.048780487804878,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,17,zdw,2026-04-07 17:00:12,0.32075471698113206,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,18,10,1vuio0pswjnm7,2026-04-07 17:00:13,0.5263157894736842,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-07 17:00:13,0.753731343283582,False
47672778,Breaking the console: a brief history of video game security,sports,71,22,sprado,2026-04-07 17:00:22,0.3055555555555556,False
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,515,153,akyuu,2026-04-07 17:00:28,0.29651162790697677,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,299,185,keepamovin,2026-04-07 17:00:30,0.6166666666666667,True
47637377,LÖVE: 2D Game Framework for Lua,sports,412,214,cl3misch,2026-04-07 17:00:32,0.5181598062953995,True
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,6,2,naorz,2026-04-07 17:00:48,0.2857142857142857,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,784,367,hkmaxpro,2026-04-07 17:00:52,0.467515923566879,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,146,pseudolus,2026-04-07 17:00:52,0.6576576576576577,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-07 17:00:54,0.16,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 17:00:55,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-07 17:01:06,0.42,False
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,15,0,ryan_j_naughton,2026-04-07 17:01:32,0.0,False
47627217,Running Out of Disk Space in Production,science,115,56,romes,2026-04-07 17:01:43,0.4827586206896552,False
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,53,0,tosh,2026-04-07 17:01:47,0.0,False
47650502,Computational Physics (2nd Edition) (2025),science,182,22,teleforce,2026-04-07 17:01:50,0.12021857923497267,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-07 17:01:51,0.5470085470085471,False
47648404,My Google Workspace account suspension,science,369,217,zenincognito,2026-04-07 17:01:57,0.5864864864864865,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-07 17:02:00,0.8059701492537313,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-07 17:02:07,0.9444444444444444,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-07 17:02:19,0.14634146341463414,False
47663650,NASA's Artemis II Crew Flies Around the Moon (Official Broadcast) [video],science,6,1,gwbas1c,2026-04-07 17:02:20,0.14285714285714285,False
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,475,165,sam-bee,2026-04-07 17:02:26,0.34663865546218486,True
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,107,18,intofarlands,2026-04-07 17:02:26,0.16666666666666666,False
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,11,3,ashish004,2026-04-07 17:02:26,0.25,False
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,110,27,mooreds,2026-04-07 17:02:27,0.24324324324324326,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,192,161,Zm44,2026-04-07 17:02:27,0.8341968911917098,True
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,72,11,Sean-Der,2026-04-07 17:02:28,0.1506849315068493,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,440,191,MattHart88,2026-04-07 17:02:28,0.4331065759637188,True
47660853,Book review: There Is No Antimemetics Division,entertainment,274,212,ibobev,2026-04-07 17:02:30,0.7709090909090909,True
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,27,24,fsloth,2026-04-07 17:02:30,0.8571428571428571,False
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,99,30,noone_youknow,2026-04-07 17:02:30,0.3,False
47637828,Show HN: Tusk for macOS and Gnome,entertainment,112,42,factorialboy,2026-04-07 17:02:30,0.37168141592920356,False
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,60,12,4RH1T3CT0R,2026-04-07 17:02:31,0.19672131147540983,False
47662429,Show HN: Weird Clocks,entertainment,47,16,vunderba,2026-04-07 17:02:33,0.3333333333333333,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,315,201,nevernothing,2026-04-07 17:02:33,0.6360759493670886,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,22,mohshomis,2026-04-07 17:02:35,0.2222222222222222,False
47652322,Music for Programming,entertainment,346,171,merusame,2026-04-07 17:02:35,0.49279538904899134,True
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,26,8,edumucelli,2026-04-07 17:02:37,0.2962962962962963,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,174,30,laszlokorte,2026-04-07 17:02:37,0.17142857142857143,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-07 17:02:37,0.10714285714285714,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,118,54,waveywaves,2026-04-07 17:02:38,0.453781512605042,False
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,17,12,anton_salcher,2026-04-07 17:02:38,0.6666666666666666,False
47665630,Show HN: Meta-agent: self-improving agent harnesses from live traces,entertainment,10,0,essamsleiman,2026-04-07 17:02:40,0.0,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,780,194,ramkarthikk,2026-04-07 17:02:42,0.24839948783610755,True
47662313,Show HN: ReverseCam – See yourself as others see you,entertainment,10,1,ilamparithi,2026-04-07 17:02:42,0.09090909090909091,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-07 17:02:43,0.2777777777777778,False
